train/loss_step,epoch,step,val/loss,val/average_precision,train/loss_epoch
0.595078706741333,0,49,,,
,0,61,0.6141818165779114,0.8315041065216064,
,0,61,,,0.5205901265144348
0.28575268387794495,1,99,,,
,1,123,0.7453699111938477,0.8400942087173462,
,1,123,,,0.5005528330802917
0.5258619785308838,2,149,,,
,2,185,0.7593124508857727,0.821951150894165,
,2,185,,,0.5040032863616943
0.6567257642745972,3,199,,,
,3,247,0.7323376536369324,0.8161163926124573,
,3,247,,,0.507704496383667
0.5707686543464661,4,249,,,
0.36313003301620483,4,299,,,
,4,309,0.7783265709877014,0.815054178237915,
,4,309,,,0.5017354488372803
0.49323368072509766,5,349,,,
,5,371,0.9760656356811523,0.8213446140289307,
,5,371,,,0.4911038279533386
