train/loss_step,epoch,step,val/loss,val/average_precision,train/loss_epoch
0.6435443162918091,0,49,,,
,0,61,0.5138078927993774,0.8562740087509155,
,0,61,,,0.6888688206672668
0.7559245824813843,1,99,,,
,1,123,0.5328941941261292,0.8658493757247925,
,1,123,,,0.6372954845428467
0.6142595410346985,2,149,,,
,2,185,0.49755144119262695,0.8560274243354797,
,2,185,,,0.5985947251319885
0.5519527196884155,3,199,,,
,3,247,0.48915237188339233,0.8606243133544922,
,3,247,,,0.5760387778282166
0.4588640034198761,4,249,,,
0.5473960638046265,4,299,,,
,4,309,0.4856325387954712,0.8628173470497131,
,4,309,,,0.5605844855308533
0.49013954401016235,5,349,,,
,5,371,0.523513913154602,0.8591750264167786,
,5,371,,,0.5375919342041016
