train/loss_step,epoch,step,val/loss,val/average_precision,val/p@r=0.25,val/p@r=0.5,val/p@r=0.75,train/loss_epoch
0.688651978969574,0,49,,,,,,
,0,61,0.49363428354263306,0.8704385161399841,0.8327272534370422,0.8017544150352478,0.7760180830955505,
,0,61,,,,,,0.6789776682853699
0.6449888944625854,1,99,,,,,,
,1,123,0.5415481328964233,0.8609747886657715,0.8641509413719177,0.8204667568206787,0.7939814925193787,
,1,123,,,,,,0.6377441883087158
0.5938828587532043,2,149,,,,,,
,2,185,0.49141359329223633,0.8660022020339966,0.8481481671333313,0.8117229342460632,0.8042203783988953,
,2,185,,,,,,0.6033008694648743
0.6545349955558777,3,199,,,,,,
,3,247,0.6203112006187439,0.8430423736572266,0.826714813709259,0.8278985619544983,0.7839999794960022,
,3,247,,,,,,0.5831687450408936
0.47221386432647705,4,249,,,,,,
0.44507741928100586,4,299,,,,,,
,4,309,0.5820501446723938,0.8386995792388916,0.8740457892417908,0.8447319865226746,0.8051643371582031,
,4,309,,,,,,0.5548449754714966
0.7134091854095459,5,349,,,,,,
,5,371,0.5322040915489197,0.860845685005188,0.88416987657547,0.8400735259056091,0.7995337843894958,
,5,371,,,,,,0.5445382595062256
0.3957217335700989,6,399,,,,,,
,6,433,0.5368319153785706,0.8575493097305298,0.8773946166038513,0.83699631690979,0.8118343353271484,
,6,433,,,,,,0.5384851098060608
0.3614189028739929,7,449,,,,,,
,7,495,0.6367738842964172,0.8758889436721802,0.8513011336326599,0.8416206240653992,0.8108747005462646,
,7,495,,,,,,0.52838534116745
0.3281189203262329,8,499,,,,,,
0.6240307092666626,8,549,,,,,,
,8,557,0.6376717686653137,0.8351001739501953,0.88416987657547,0.8416206240653992,0.8176400661468506,
,8,557,,,,,,0.5206131339073181
0.388472318649292,9,599,,,,,,
,9,619,0.5730733275413513,0.8438943028450012,0.9160000085830688,0.8542056083679199,0.8137603998184204,
,9,619,,,,,,0.5194639563560486
0.658819317817688,10,649,,,,,,
,10,681,0.6695847511291504,0.8257912397384644,0.8980392217636108,0.8494423627853394,0.8089622855186462,
,10,681,,,,,,0.519088625907898
0.3375435173511505,11,699,,,,,,
,11,743,0.6844910979270935,0.8360559344291687,0.8910505771636963,0.8671726584434509,0.8255114555358887,
,11,743,,,,,,0.5119593143463135
0.5048883557319641,12,749,,,,,,
0.41571757197380066,12,799,,,,,,
,12,805,0.8112165331840515,0.8096189498901367,0.9015747904777527,0.8416206240653992,0.7967479825019836,
,12,805,,,,,,0.5237851142883301
0.49159616231918335,13,849,,,,,,
,13,867,0.7966167330741882,0.8042492866516113,0.8674242496490479,0.8494423627853394,0.815695583820343,
,13,867,,,,,,0.5164346098899841
0.46442970633506775,14,899,,,,,,
,14,929,0.7578043341636658,0.8399227857589722,0.9051383137702942,0.8822394013404846,0.8225419521331787,
,14,929,,,,,,0.5035467743873596
