train/loss_step,epoch,step,val/loss,val/average_precision,val/p@r=0.25,val/p@r=0.5,val/p@r=0.75,train/loss_epoch
0.6642311215400696,0,49,,,,,,
,0,61,0.5464946627616882,0.8469802141189575,0.8063380122184753,0.7732656598091125,0.7563396096229553,
,0,61,,,,,,0.6527420878410339
0.5750198364257812,1,99,,,,,,
,1,123,0.47998327016830444,0.8668906092643738,0.841911792755127,0.8189964294433594,0.7912341356277466,
,1,123,,,,,,0.6061999797821045
0.5764384269714355,2,149,,,,,,
,2,185,0.4873450696468353,0.8636810183525085,0.8481481671333313,0.8278985619544983,0.7976744174957275,
,2,185,,,,,,0.5803977251052856
0.5642994046211243,3,199,,,,,,
,3,247,0.5271833539009094,0.855517566204071,0.8773946166038513,0.8264014720916748,0.7921478152275085,
,3,247,,,,,,0.562994658946991
0.6182006597518921,4,249,,,,,,
0.6025541424751282,4,299,,,,,,
,4,309,0.5853114128112793,0.8533437252044678,0.8707224130630493,0.8400735259056091,0.7995337843894958,
,4,309,,,,,,0.544681191444397
0.5821725130081177,5,349,,,,,,
,5,371,0.6274211406707764,0.8296733498573303,0.8807692527770996,0.8264014720916748,0.7986029982566833,
,5,371,,,,,,0.5330553650856018
0.6596255898475647,6,399,,,,,,
,6,433,0.5574630498886108,0.8577167391777039,0.8641509413719177,0.8462963104248047,0.8032786846160889,
,6,433,,,,,,0.5372211933135986
0.6603662967681885,7,449,,,,,,
,7,495,1.0325771570205688,0.8386491537094116,0.9015747904777527,0.83699631690979,0.7958236932754517,
,7,495,,,,,,0.5260856747627258
0.6756649017333984,8,499,,,,,,
0.3007931113243103,8,549,,,,,,
,8,557,0.5811595916748047,0.8248623013496399,0.9051383137702942,0.8510242104530334,0.8118343353271484,
,8,557,,,,,,0.5172327160835266
0.4431084394454956,9,599,,,,,,
,9,619,0.7244185209274292,0.8335846662521362,0.8807692527770996,0.8447319865226746,0.8147268295288086,
,9,619,,,,,,0.5234988927841187
0.4503173232078552,10,649,,,,,,
,10,681,0.5738584995269775,0.8564453125,0.8807692527770996,0.8622641563415527,0.818615734577179,
,10,681,,,,,,0.5183265805244446
0.5234518051147461,11,699,,,,,,
,11,743,0.6968372464179993,0.839944064617157,0.8773946166038513,0.8655303120613098,0.8285024166107178,
,11,743,,,,,,0.5089744329452515
0.7500101327896118,12,749,,,,,,
0.5310535430908203,12,799,,,,,,
,12,805,0.7205419540405273,0.8390183448791504,0.8807692527770996,0.847866415977478,0.8080094456672668,
,12,805,,,,,,0.5175067782402039
